participant_id,task,stimuli_number,trial_number,layout,orientation,correct,response,duration,time_when
62c35e9517e15b36b957a678,compare_height,72,28,horizontal,vertical,1,1,1649.4,26:23.8
67f2fd3f4964cf3f7cb3cb34,compare_height,39,6,horizontal,vertical,1,1,611.2,26:20.9
67e37c54c4dab0d9650f7bd8,compare_height,91,17,horizontal,vertical,1,2,979,26:24.8
62c35e9517e15b36b957a678,compare_height,88,29,horizontal,vertical,1,2,884.6,26:25.5
67ca31cb2da341032af721d3,compare_height,94,27,horizontal,horizontal,1,2,2954.5,26:25.9
677fd8f97de41a9b7be91145,compare_height,87,11,horizontal,horizontal,1,2,1450,26:25.5
67f2fd3f4964cf3f7cb3cb34,compare_height,47,7,horizontal,vertical,1,1,596.6,26:22.4
67f2fd3f4964cf3f7cb3cb34,compare_height,54,12,horizontal,vertical,1,2,1072,26:31.9
677fd8f97de41a9b7be91145,compare_height,81,16,horizontal,horizontal,1,2,909.8,26:35.6
67e37c54c4dab0d9650f7bd8,compare_height,69,22,horizontal,vertical,1,1,700,26:35.5
62c35e9517e15b36b957a678,compare_height,79,34,horizontal,vertical,1,1,1369.7,26:36.5
67f2fd3f4964cf3f7cb3cb34,compare_height,60,13,horizontal,vertical,1,2,763.5,26:33.5
677fd8f97de41a9b7be91145,compare_height,89,17,horizontal,horizontal,1,2,815.7,26:37.3
67f2fd3f4964cf3f7cb3cb34,compare_height,-999,14,horizontal,vertical,1,1,770.2,26:35.2
67e37c54c4dab0d9650f7bd8,compare_height,-999,23,horizontal,vertical,1,2,1811.1,26:38.1
62c35e9517e15b36b957a678,compare_height,64,35,horizontal,vertical,1,1,1340.4,26:38.7
677fd8f97de41a9b7be91145,compare_height,78,18,horizontal,horizontal,1,1,1092.5,26:39.2
67e37c54c4dab0d9650f7bd8,compare_height,90,24,horizontal,vertical,1,2,1074.5,26:40.1
67f2fd3f4964cf3f7cb3cb34,compare_height,42,15,horizontal,vertical,1,1,581.4,26:36.6
67f2fd3f4964cf3f7cb3cb34,compare_height,62,16,horizontal,vertical,1,2,969.8,26:38.4
677fd8f97de41a9b7be91145,compare_height,67,19,horizontal,horizontal,1,1,1854.1,26:41.9
67f2fd3f4964cf3f7cb3cb34,compare_height,46,17,horizontal,vertical,1,1,630.2,26:39.9
67e37c54c4dab0d9650f7bd8,compare_height,93,25,horizontal,vertical,1,2,1547.9,26:42.5
67ca31cb2da341032af721d3,compare_height,66,31,horizontal,horizontal,1,1,6440.9,26:42.0
67f2fd3f4964cf3f7cb3cb34,compare_height,59,18,horizontal,vertical,1,2,797.7,26:41.5
67e37c54c4dab0d9650f7bd8,compare_height,76,26,horizontal,vertical,0,2,1058.4,26:44.4
67eceb1d5f0b5f9f2743964e,compare_length,21,22,horizontal,horizontal,1,2,759.1,43:16.0
5e0b416415ef4038dba6d93f,compare_length,44,22,vertical,horizontal,1,2,1149,43:19.2
5b5a822e1ad8270001c4f28d,compare_index,7,21,horizontal,vertical,0,2,1474.5,43:18.6
6562421abbbe0dc4b89ad4ff,compare_height,87,1,vertical,horizontal,1,2,1150,43:19.3
67eceb1d5f0b5f9f2743964e,compare_length,-999,23,horizontal,horizontal,1,2,821.5,43:17.6
5e0b416415ef4038dba6d93f,compare_length,-999,23,vertical,horizontal,1,2,766,43:20.9
5e84bd7c34d5d9072128fac1,compare_index,93,2,vertical,horizontal,1,2,1194,43:19.0
5b5a822e1ad8270001c4f28d,compare_index,1,22,horizontal,vertical,1,1,1022.6,43:20.5
67eceb1d5f0b5f9f2743964e,compare_length,19,24,horizontal,horizontal,1,1,874.8,43:19.4
6562421abbbe0dc4b89ad4ff,compare_height,71,2,vertical,horizontal,1,1,1116,43:21.3
667871d17d7fdf0358f82a28,compare_index,2,6,vertical,horizontal,1,1,3241.7,43:22.6
5e0b416415ef4038dba6d93f,compare_length,39,24,vertical,horizontal,1,2,778,43:22.5
5e84bd7c34d5d9072128fac1,compare_index,84,3,vertical,horizontal,1,1,902,43:20.7
5b5a822e1ad8270001c4f28d,compare_index,11,24,horizontal,vertical,1,2,1042.2,43:24.2
6562421abbbe0dc4b89ad4ff,compare_height,72,6,vertical,horizontal,1,1,1546,43:30.5
5e84bd7c34d5d9072128fac1,compare_index,74,8,vertical,horizontal,1,2,930,43:32.1
5e0b416415ef4038dba6d93f,compare_length,58,31,vertical,horizontal,1,1,977,43:35.7
6562421abbbe0dc4b89ad4ff,compare_height,70,8,vertical,horizontal,1,1,1212,43:34.8
667871d17d7fdf0358f82a28,compare_index,15,9,vertical,horizontal,1,2,3854.5,43:36.1
5b5a822e1ad8270001c4f28d,compare_index,3,29,horizontal,vertical,1,1,1367.4,43:35.1
5e84bd7c34d5d9072128fac1,compare_index,88,9,vertical,horizontal,1,2,2229,43:35.1
67eceb1d5f0b5f9f2743964e,compare_length,10,33,horizontal,horizontal,1,1,822.6,43:34.4
5b5a822e1ad8270001c4f28d,compare_index,20,30,horizontal,vertical,1,1,1317.3,43:37.2
6562421abbbe0dc4b89ad4ff,compare_height,92,9,vertical,horizontal,1,2,1902,43:37.5
67eceb1d5f0b5f9f2743964e,compare_length,31,34,horizontal,horizontal,1,2,817.4,43:36.0
67eec1cf02e625e0d469f1ed,compare_index,16,1,vertical,vertical,1,1,1563.1,43:36.8
667871d17d7fdf0358f82a28,compare_index,20,10,vertical,horizontal,1,1,3371.6,43:40.3
5b5a822e1ad8270001c4f28d,compare_index,26,31,horizontal,vertical,1,2,1228.9,43:39.3
6562421abbbe0dc4b89ad4ff,compare_height,69,10,vertical,horizontal,1,1,1200,43:39.6
67eceb1d5f0b5f9f2743964e,compare_length,9,35,horizontal,horizontal,1,1,847.8,43:37.7
5e0b416415ef4038dba6d93f,compare_length,61,33,vertical,horizontal,1,2,2778,43:40.9
5e84bd7c34d5d9072128fac1,compare_index,79,11,vertical,horizontal,1,2,801,43:39.5
5b5a822e1ad8270001c4f28d,compare_index,-999,32,horizontal,vertical,0,2,856.8,43:41.0
